label,category,source,url,local_path,sha256,overlay_style
喵喵喵,害羞亲昵,cv17965114,https://i0.hdslb.com/bfs/article/42e159841bf76311227897af6725d6b38cd9b5ed.png,assets/cover-emotes/wushen/害羞亲昵/17965114_08_喵喵喵.png,591f2c8ae7a3e252359b1f6411e7169fa405e013777a82bc84cdf6684777b921,sticker
拥抱太阳,害羞亲昵,cv17965114,https://i0.hdslb.com/bfs/article/9f516be9e24ee8408fa73fc41279b8c2350868ab.png,assets/cover-emotes/wushen/害羞亲昵/17965114_20_拥抱太阳.png,6776a4fc99a0961c8a295c9ec63cb566a5f6713d6d0ab55c391706de92108506,sticker
啵唧咪,害羞亲昵,cv30277853,https://i0.hdslb.com/bfs/article/1ac08093777d6e9c71de0973583a67f1353403349.png,assets/cover-emotes/wushen/害羞亲昵/30277853_25_啵唧咪.png,fca8fcc2fab208074437b874d84d69d507748feae7fa254e81f082a1beb4e6c8,sticker
拜托咪,害羞亲昵,cv30277853,https://i0.hdslb.com/bfs/article/2ba241d43779654da334df4ef9814325353403349.png,assets/cover-emotes/wushen/害羞亲昵/30277853_28_拜托咪.png,4c022d72426893ee38bb8060ce39bbb5b29270484d2d2009a0f6bbdc5b0b5f21,sticker
啾啾咪,害羞亲昵,cv30277853,https://i0.hdslb.com/bfs/article/fe80d7771265021b565274d4788e6cc5353403349.png,assets/cover-emotes/wushen/害羞亲昵/30277853_30_啾啾咪.png,af907cb880534116954b5d822b1fa40ebe060487960d08da43e2fc78cc3b7ad6,sticker
迷人咪,害羞亲昵,cv30277853,https://i0.hdslb.com/bfs/article/a7d64500a91398964a98b318fcd5a86a353403349.png,assets/cover-emotes/wushen/害羞亲昵/30277853_31_迷人咪.png,498b221f8f4da1c36131b0967d2816bf3e7d5fdb7c5f7340301b9c6c9dc2b2f8,sticker
有趣喵,开心赞同,cv17965114,https://i0.hdslb.com/bfs/article/04ba5b1d06adc43d00feb7082fbcc628fd22860b.png,assets/cover-emotes/wushen/开心赞同/17965114_19_有趣喵.png,c8fb522a35848961e17ae5a6c4bcb0e381430432d7f8761300a11b90cafd19ea,sticker
期待咪,开心赞同,cv30277853,https://i0.hdslb.com/bfs/article/82e4a3de2ad7dbaa7bc1b567fffde3f0353403349.png,assets/cover-emotes/wushen/开心赞同/30277853_21_期待咪.png,08f4886986a0861dacb6f2caad0f85c30f60eeb2dc983206b1248ca93c67aa42,sticker
蟹蟹咪,开心赞同,cv30277853,https://i0.hdslb.com/bfs/article/95d2ae64e390e35002a5c38e1131fb12353403349.png,assets/cover-emotes/wushen/开心赞同/30277853_22_蟹蟹咪.png,8dd758b61152a9370b0dc01dd14f3be1e90c415033e301b274aa4fcee3bd3fca,sticker
感动咪,开心赞同,cv30277853,https://i0.hdslb.com/bfs/article/9e78fdce312134bb0ac1e08bf51f931a353403349.png,assets/cover-emotes/wushen/开心赞同/30277853_24_感动咪.png,8d188eead7f11f34ce5afed88cb4ee09b57a1092e7043995460180dc4b1d68f0,sticker
哈哈喵,开心赞同,cv30277853,https://i0.hdslb.com/bfs/article/23b741266812cddc60c6a0846fcb029d353403349.png,assets/cover-emotes/wushen/开心赞同/30277853_42_哈哈喵.png,149effd95fe4da25d3f129cb3f3aa472f0dab9f7fcfaaffb61ce356527bd40ae,sticker
开心答应,开心赞同,user-provided,,assets/cover-emotes/wushen/开心赞同/user_02_开心答应.webp,1bbe8799d3bc129786f59ae12668529fd0a61f3cfc0e78bc92efd565133e2c83,sticker
你是猪咪,无语嫌弃,cv17965114,https://i0.hdslb.com/bfs/article/ec1eea848de4ec134a07ba9d1b0a1bbaaab224b1.png,assets/cover-emotes/wushen/无语嫌弃/17965114_09_你是猪咪.png,0960290e292eb8f39d63f7479ee415a2d219e00f862f7221e868dbfa9d6a74dd,sticker
